hyperlink;postcode;Province;Region;house_is;property_subtype;price;rooms_number;area;kitchen_has;furnished;open_fire;terrace;terrace_area;garden;garden_area;land_surface;land_plot_surface;facades_number;swimming_pool_has;building_state
7893355;1080;Bruxelles;Bruxelles;0;PENTHOUSE;299000.0;3;1;TRUE;FALSE;FALSE;TRUE;20.0;FALSE;0.0;0.0;140.0;0.0;FALSE;
7893794;1200;Bruxelles;Bruxelles;0;APARTMENT;299999.0;2;-1;TRUE;FALSE;FALSE;TRUE;5.0;FALSE;0.0;0.0;90.0;0.0;FALSE;TO_BE_DONE_UP
7893869;7100;Hainaut;Wallonie;1;MIXED_USE_BUILDING;195000.0;5;2;TRUE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;410.0;410.0;0.0;FALSE;TO_BE_DONE_UP
7895450;8620;Fland Occidentale;Flandre;1;VILLA;655000.0;4;232;TRUE;TRUE;FALSE;;;;;305.0;422.0;4.0;FALSE;AS_NEW
7895451;8620;Fland Occidentale;Flandre;1;VILLA;675000.0;4;2;TRUE;TRUE;FALSE;;;;;291.0;419.0;4.0;FALSE;AS_NEW
7895790;1840;Brabant Flamand;Flandre;0;APARTMENT;265000.0;2;88;TRUE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;88.0;0.0;FALSE;
7896377;1060;Bruxelles;Bruxelles;1;MANSION;635000.0;4;2;TRUE;FALSE;FALSE;FALSE;0.0;TRUE;56.0;138.0;138.0;0.0;FALSE;TO_RENOVATE
7897426;1050;Bruxelles;Bruxelles;0;DUPLEX;765000.0;3;1;TRUE;FALSE;FALSE;TRUE;30.0;TRUE;100.0;;;2.0;FALSE;
7898074;1420;Brabant Wallon;Wallonie;0;APARTMENT;284000.0;2;-1;TRUE;FALSE;FALSE;TRUE;11.0;FALSE;0.0;0.0;3.0;0.0;FALSE;AS_NEW
7898735;5561;Namur;Wallonie;1;VILLA;420000.0;4;2;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;1500.0;1500.0;0.0;FALSE;AS_NEW
7898786;8300;Fland Occidentale;Flandre;0;SERVICE_FLAT;425000.0;1;127;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;127.0;0.0;FALSE;
7899347;8670;Fland Occidentale;Flandre;0;APARTMENT;399000.0;3;-1;FALSE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;0.0;0.0;FALSE;NOT_SPECIFIED
